"","V1","V2","V3","V4","V5"
"1",59,38,0,16,8
"2",6,16,3,1,10
"3",1,2,9,0,3
"4",0,0,0,5,13
"5",5,7,9,0,22
"6",1,5,14,0,13
"7",4,0,9,3,0
"8",5,4,0,0,2
"9",9,4,1,14,7
"10",3,4,3,4,0
"11",13,20,9,3,14
"12",3,10,2,1,5
"13",0,4,13,11,36
"14",6,3,7,5,1
"15",11,2,2,20,2
"16",4,9,7,3,5
"17",18,5,11,0,1
"18",1,0,8,12,1
"19",14,2,5,4,3
"20",3,10,20,2,2
"21",1,2,1,0,0
"22",0,5,10,9,1
"23",4,2,21,19,0
"24",2,13,3,10,1
"25",10,3,4,0,2
"26",10,8,0,4,1
"27",1,0,3,14,11
"28",0,5,4,19,36
"29",1,3,2,9,2
"30",4,12,2,3,1
"31",3,18,3,8,47
"32",19,22,3,2,34
"33",0,15,0,5,6
"34",4,2,5,2,16
"35",10,0,15,2,1
"36",3,6,0,0,13
"37",0,2,9,23,23
"38",0,0,2,0,3
"39",2,2,13,4,16
"40",6,6,4,0,25
"41",12,5,1,0,11
"42",1,1,13,8,0
"43",13,1,4,0,0
"44",5,21,2,25,21
"45",28,0,30,46,2
"46",0,2,5,4,3
"47",1,0,4,4,0
"48",0,0,4,3,7
"49",5,0,6,0,1
"50",9,2,0,15,7
"51",17,5,8,20,0
"52",3,0,11,7,6
"53",9,6,7,3,5
"54",27,5,15,8,8
"55",0,12,4,9,8
"56",4,26,1,5,2
"57",12,0,15,18,7
"58",1,17,12,1,8
"59",0,0,14,4,1
"60",8,0,1,3,1
"61",10,0,9,4,32
"62",7,5,6,12,1
"63",5,6,0,8,8
"64",1,5,0,4,2
"65",2,26,6,9,6
"66",26,9,3,1,10
"67",4,10,24,6,12
"68",0,2,3,6,11
"69",24,14,9,1,3
"70",5,0,1,19,20
"71",7,0,2,0,1
"72",3,1,15,18,29
"73",2,4,18,3,5
"74",4,15,20,4,15
"75",0,4,1,0,12
"76",11,0,18,0,6
"77",6,0,2,2,21
"78",17,17,8,12,4
"79",63,33,1,1,9
"80",0,5,4,4,19
"81",2,0,9,11,3
"82",5,4,0,0,16
"83",27,0,21,0,11
"84",12,9,8,7,12
"85",7,12,0,5,6
"86",6,7,2,5,4
"87",12,18,2,5,3
"88",0,0,12,13,24
"89",2,8,0,5,3
"90",2,25,28,14,11
"91",0,1,3,4,14
"92",24,0,10,11,1
"93",20,14,19,35,105
"94",10,4,16,7,1
"95",5,8,15,23,8
"96",1,0,5,14,10
"97",1,0,11,0,3
"98",10,1,1,2,13
"99",1,14,2,4,4
"100",0,0,7,4,0
